Sector,Date,TOTAL_SCORE,Bull_Prob_Raw,Volume_Z,Open,High,Low,Close,Volume_Metric,Fit_Type,ACTION,Position_Size,Market_Score,Market_Regime,Market_Source,Strategy,Threshold_Buy,Threshold_Sell,Excess_Prob,Rotation_Status,Dispersion
软件,2025-07-03,0.30784996470188575,0.2833841308087452,-0.736522,135.541,135.942,135.942,135.942,-0.736522,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.4493053651061265,MODERATE ROTATION,0.2842195314929492
光模块中游,2025-07-03,1.0,1.0,0.503545,192.183,197.085,197.085,197.085,0.503545,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.24284467019198774,MODERATE ROTATION,0.2842195314929492
液冷,2025-07-03,0.6981144500946881,0.7036268064520207,-0.562793,163.763,166.417,166.417,166.417,-0.562793,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.05904087971332417,MODERATE ROTATION,0.2842195314929492
军工电子,2025-07-03,0.7993083818738975,0.8482491480127128,0.0515431,144.985,145.909,145.909,145.909,0.0515431,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.042153052065885266,MODERATE ROTATION,0.2842195314929492
风电设备,2025-07-03,0.9801284181117383,0.9852041683788227,0.76333,113.85,114.278,114.278,114.278,0.76333,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.22297308830372609,MODERATE ROTATION,0.2842195314929492
家用电器,2025-07-03,0.934789089910141,0.9919382753102856,-1.09556,144.946,145.572,145.572,145.572,-1.09556,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.17763376010212872,MODERATE ROTATION,0.2842195314929492
电力,2025-07-03,0.502203147560272,0.402203147560272,-0.328932,126.344,125.814,125.814,125.814,-0.328932,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.2549521822477403,MODERATE ROTATION,0.2842195314929492
白酒,2025-07-03,0.7571553298080123,0.6903534298080123,-0.663962,86.7106,87.0265,87.0265,87.0265,-0.663962,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.0,MODERATE ROTATION,0.2842195314929492
电网设备,2025-07-03,0.7544660072089271,0.7886347140380565,-0.0878892,121.63,121.897,121.897,121.897,-0.0878892,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.0026893225990851644,MODERATE ROTATION,0.2842195314929492
电池,2025-07-03,0.982991803305189,0.987110834200269,1.4168,162.294,169.46,169.46,169.46,1.4168,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.22583647349717673,MODERATE ROTATION,0.2842195314929492
整车,2025-07-03,0.909067301683293,0.9621304603671793,-1.15107,145.055,146.48,146.48,146.48,-1.15107,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.15191197187528072,MODERATE ROTATION,0.2842195314929492
