index,Sector,RS_Score,Reversal_Score,Trend_Score,ATR_Score,Contra_Vol_Score,LT_Filter,TOTAL_SCORE,ACTION,Open,High,Low,Close,Volume_Metric,Date
12,整车,0.0,0.0,-0.2,1.0,0.0,-3.0,-2.226513521175295,RED (EXIT/AVOID),109.49601289525202,110.36390662403281,108.70357072588796,109.90902075449394,-0.5411521334271694,2025-07-02
13,能源,0.0,0.0,0.1,0.9,0.0,0.0,0.9686976862757462,RED (EXIT/AVOID),118.70057386420383,120.14336124498573,118.34315355489065,119.72766778139845,-0.1950675727946001,2025-07-02
0,MARKET_PROXY,2.0,0.0,0.8,0.0,0.0,0.0,2.7561562915925775,RED (EXIT/AVOID),173.7014416526446,176.01730838779582,172.07282220894135,174.97015977302485,-0.13856548325622786,2025-07-03
1,银行,0.0,0.0,0.5,0.0,0.0,0.0,0.5319950888429184,RED (EXIT/AVOID),171.5676977296741,172.60481095483465,169.68123930470028,170.36102547432512,-0.7091416449697752,2025-07-03
2,非银金融,0.0,0.0,0.5,0.8,0.0,0.0,1.2777818030372625,RED (EXIT/AVOID),150.05308215894894,151.1628200894568,149.40646780599857,150.53691508653768,-0.659948227506478,2025-07-03
3,半导体,0.0,0.0,0.1,0.8,2.0,-3.0,-0.08356676155725085,RED (EXIT/AVOID),209.30563030207932,211.0671283400328,207.48679313851738,209.27532352696144,-0.7586146634679669,2025-07-03
4,软件,0.0,0.0,0.2,0.9,0.0,-3.0,-1.922212135699117,RED (EXIT/AVOID),128.89875982760273,130.19913497979397,128.16954965356115,129.13929244910182,-0.6593020365975566,2025-07-03
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),176.50839756317106,180.23795650875357,174.19113589232757,177.89725137472035,0.010737204881786847,2025-07-03
6,军工电子,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),167.65071316090604,171.27427574154467,167.04346111596644,168.7527761791746,-0.18785668601282593,2025-07-03
7,家用电器,0.0,0.0,-0.2,0.9,2.0,-3.0,-0.30761887633513973,RED (EXIT/AVOID),137.47041806506675,138.03454789989468,135.29474600011542,136.85106108572208,0.8741310451050839,2025-07-03
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.829021886943717,RED (EXIT/AVOID),124.771915955904,125.1378130375867,123.72597490408012,124.2720276817957,-0.8148160967418511,2025-07-03
9,白酒,0.0,0.0,-0.4,1.0,0.0,-3.0,-2.424719884176522,RED (EXIT/AVOID),75.99098679909221,77.00304429401508,75.75672745906901,76.25845687454763,-0.20703762611029092,2025-07-03
10,电网设备,0.0,0.0,0.2,0.9,2.0,0.0,3.0434603261161914,YELLOW (WATCH/HOLD),120.11157412966287,120.98288992877043,119.18520532715964,120.2162052266955,-0.3466007192527561,2025-07-03
11,电池,2.0,0.0,1.0,0.0,0.0,0.0,2.97672143492945,RED (EXIT/AVOID),139.17093843300972,143.94288203326806,137.39899712028554,142.04405707629812,0.8479631057044047,2025-07-03
12,整车,0.0,0.0,-0.2,1.0,0.0,-3.0,-2.187807893167313,RED (EXIT/AVOID),109.72244619080095,110.85153627766829,109.59315734381381,110.56840111257475,-0.6363248229197618,2025-07-03
13,能源,0.0,0.0,0.1,0.9,0.0,0.0,0.9496788906760047,RED (EXIT/AVOID),119.83715764732989,120.31585785647407,118.40446715373442,118.82686366687405,-0.529891765738752,2025-07-03
0,MARKET_PROXY,2.0,0.0,0.8,0.0,0.0,0.0,2.7648296407967705,RED (EXIT/AVOID),175.213019271396,178.13625311730632,172.913093149293,175.1484902769542,0.15605780433823968,2025-07-04
1,银行,0.0,0.0,0.6,0.0,0.0,0.0,0.5524225735296308,RED (EXIT/AVOID),170.7130110641481,173.54420181573508,170.30858510871448,172.6461334538219,-0.3650857152054869,2025-07-04
2,非银金融,0.0,0.0,0.5,0.0,0.0,0.0,0.4615345465071892,RED (EXIT/AVOID),150.08801769459117,154.13351611325427,149.06212329413216,151.51651330323577,0.4030791369692271,2025-07-04
3,半导体,0.0,0.0,0.1,0.0,2.0,-3.0,-0.9334321153293876,RED (EXIT/AVOID),208.64967865241502,214.63855618169157,206.7808686595912,210.68642838453275,-0.15614460826462845,2025-07-04
4,软件,0.0,0.0,0.2,0.8,0.0,-3.0,-1.9669005477089996,RED (EXIT/AVOID),129.16553926938036,131.62764764506727,127.55362401368343,129.12981827800192,-0.18250758682807616,2025-07-04
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),178.15701178682318,180.20842557865205,172.4839074213324,173.13919924614623,0.09673723454665155,2025-07-04
6,军工电子,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),168.54765243223216,173.50038852758195,166.3563766620442,170.19567463409206,0.32320591071665855,2025-07-04
7,家用电器,0.0,0.0,-0.1,0.8,2.0,-3.0,-0.2824376126585739,RED (EXIT/AVOID),136.77438720197665,139.53880765024212,136.3332006205238,139.0477772928174,1.1675011426263096,2025-07-04
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.8716968333324684,RED (EXIT/AVOID),124.33050216570261,125.31777578122681,124.21745946279228,124.79527567615926,-0.5533991530240014,2025-07-04
9,白酒,0.0,0.0,-0.3,1.0,0.0,-3.0,-2.3634202910332487,RED (EXIT/AVOID),76.14184002162206,77.04984143984802,75.93425509388146,76.56866175171002,-0.2521499885657523,2025-07-04
10,电网设备,0.0,0.0,0.2,0.9,2.0,-3.0,0.04797026067688215,RED (EXIT/AVOID),120.56018049857083,121.13070553847739,119.2171959375247,119.7262726273329,-0.4636788204365873,2025-07-04
11,电池,2.0,0.0,0.9,0.0,0.0,0.0,2.898858124636176,RED (EXIT/AVOID),141.52943122722564,142.5428519254473,137.2093689764068,139.3171962736036,0.71928102092642,2025-07-04
12,整车,0.0,0.0,-0.1,1.0,0.0,-3.0,-2.1642665274261095,RED (EXIT/AVOID),110.47473273729491,112.38881319562094,109.93801606846547,111.25640735075919,-0.04093281140578642,2025-07-04
13,能源,0.0,0.0,0.1,0.9,0.0,0.0,0.9903598651954585,RED (EXIT/AVOID),118.74367869104108,119.6379779444465,118.39960220994249,119.0920185096438,-0.5543967185837834,2025-07-04
0,MARKET_PROXY,2.0,0.0,0.7,0.0,0.0,0.0,2.7343978865439613,RED (EXIT/AVOID),174.54216408709024,176.03624520153608,171.62930533718213,173.77637475180416,-0.39706698610033425,2025-07-07
1,银行,2.0,0.0,0.6,0.0,0.0,0.0,2.558139090791486,RED (EXIT/AVOID),172.51315387769222,173.42599342299204,171.76835189195938,172.68119143725923,-1.0235992315150002,2025-07-07
2,非银金融,0.0,0.0,0.5,0.0,0.0,0.0,0.4515466429610926,RED (EXIT/AVOID),151.11374046925275,152.31272969552327,150.1765733572865,151.34790062376712,-0.7482562343989536,2025-07-07
3,半导体,0.0,0.0,0.1,0.8,2.0,-3.0,-0.11525110680099626,RED (EXIT/AVOID),210.79316455933812,213.85821987602395,209.48746820305627,210.31352630719022,-0.7964815619149277,2025-07-07
4,软件,0.0,0.0,0.2,0.9,0.0,-3.0,-1.9672407774248133,RED (EXIT/AVOID),128.64328703080338,130.0128296190089,127.48530096966765,128.25876126929728,-0.5607867784624847,2025-07-07
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),170.46148471365697,174.3619065626706,164.50820155808898,170.27131342810372,0.235713568160174,2025-07-07
6,军工电子,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),170.0552251328905,172.35212456111802,167.6847838780826,170.5445002431394,-0.043470290867432905,2025-07-07
7,家用电器,0.0,0.0,-0.1,0.8,0.0,-3.0,-2.2470943589778587,RED (EXIT/AVOID),139.0646489959242,139.48823159703753,137.12957772995614,137.6966285326738,-0.2697727901936218,2025-07-07
8,电力,0.0,0.0,-0.0,0.9,2.0,0.0,2.898255647948847,RED (EXIT/AVOID),125.23236215763676,125.64722697799927,124.3331386619488,125.49223834938982,-0.5819903016461606,2025-07-07
9,白酒,0.0,0.0,-0.3,1.0,0.0,-3.0,-2.3147883444248434,RED (EXIT/AVOID),76.68073734983835,76.9346058576637,76.12202907865803,76.28378417648376,-0.5415157856697496,2025-07-07
10,电网设备,0.0,0.0,0.2,0.8,2.0,0.0,3.065728278398997,YELLOW (WATCH/HOLD),119.92091134900949,121.5953938456977,119.53717403354257,120.88344910906781,0.0044412427351886285,2025-07-07
11,电池,0.0,0.0,0.8,0.0,0.0,0.0,0.8126540033118034,RED (EXIT/AVOID),138.95015339069383,141.1449831628277,137.0172284999396,138.69437779853945,-0.20492222934634233,2025-07-07
12,整车,0.0,0.0,-0.1,1.0,2.0,-3.0,-0.11754550370481986,RED (EXIT/AVOID),111.12718937714783,112.179588627905,110.59095630704769,111.52262630845296,-0.6368546579845026,2025-07-07
13,能源,0.0,0.0,0.0,0.9,0.0,0.0,0.9756328475057353,RED (EXIT/AVOID),119.03292931829009,119.19655931967893,117.62602927071906,118.27705802387068,-0.5646343667767162,2025-07-07
0,MARKET_PROXY,2.0,0.0,0.8,0.0,0.0,0.0,2.762748750522334,RED (EXIT/AVOID),173.78329930787447,178.64480768524612,172.8780807642898,177.59960943679388,0.14372582768340514,2025-07-08
1,银行,0.0,0.0,0.6,0.0,0.0,0.0,0.5615620177235137,RED (EXIT/AVOID),172.74022774202413,173.78641431133462,171.84296846157713,173.22423288911693,-0.9466569418074987,2025-07-08
2,非银金融,0.0,0.0,0.4,0.8,0.0,0.0,1.2626971853449782,RED (EXIT/AVOID),150.99765530373062,152.26089583376455,150.327539961529,151.77104564232604,-0.31105155080687236,2025-07-08
3,半导体,0.0,0.0,0.1,0.9,2.0,-3.0,-0.055774803585977306,RED (EXIT/AVOID),210.36089906625523,212.36960607603942,208.9097406557979,211.52037031071708,-0.6714460866393867,2025-07-08
